asin,title,price,image_url,product_url
B0GY8NFSF2,"IESVRA Portable Cordless Heating Pad for Menstrual Pain Relief | 3 Heat & 4 Massage Modes | Rechargeable Period Cramp Relief Belt for Belly, Waist | Adjustable Pain Relief Warmer for Women",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0GY8NFSF2
B0F8BWVZ64,"RERANT (Pack of 5, 39 Inches) Door Guard – Bottom Seal Strip Gap Filler for Doors | Soundproof, Noise Reduction, Energy Saving, Dust & Insect, Rat Protector, Door Strip for Home & Office",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0F8BWVZ64
B0CKJ2HCQ6,"NANZU Glass 2 in 1 Oil Sprayer and Dispenser Bottle - 500ML for Kitchen, Cooking, BBQ, Air Fryer, Salad, Frying, Baking, Transparent",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0CKJ2HCQ6
B0GX62T8Z5,"IESVRA 6-Angle Adjustable Aluminum Laptop Stand | Ergonomic Foldable & Portable Tabletop Riser Holder for Laptop/Desktop | Compatible with MacBook, HP, Dell, Lenovo & All Notebooks (Silver)",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0GX62T8Z5
B0GN1MQTH7,IESVRA 3 Compartment Lunch Box for Office & School | 1400ml Leakproof Bento Lunch Box with Spoon & Fork | BPA Free Plastic Tiffin Box for Kids & Adults | Multicolor,-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0GN1MQTH7
B0GKWVTHTT,"IESVRA Manual Hand Chopper 450ML | Vegetable & Onion Chopper with Stainless Steel Blades | Pull String Food Processor | Garlic, Herbs, Nuts & Fruit Cutter",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0GKWVTHTT
B0GKWZQD8W,"IESVRA 4-Piece Airtight Kitchen Masala Box Set with Tray | Leakproof Spice Storage Containers | Easy Flow Rasoi Organizer for Masala, Dry Fruits & Condiments |",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0GKWZQD8W
B0FT3SHG1X,"IESVRA Flower Shape Adhesive Wall Hook | Heavy Duty Transparent Wall Holder for Bathroom & Kitchen | No-Drill Sticker Hooks for Home Organization | Strong Self-Adhesive for Keys, Towels (Pack of 10)",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0FT3SHG1X
B0FT3S3KLW,"IESVRA Glass Oil Dispenser 250ml | Refillable Cooking Oil Sprayer Bottle for Kitchen, BBQ, Air Fryer & Baking | Fine Mist Olive Spray Bottle for Healthy Cooking (1 Pack)",-73%₹ 219 . 00,https://m.media-amazon.com/images/I/61o4vhxdqIL._AC_CR0%2C0%2C0%2C0_SX352_SY330_.jpg,https://www.amazon.in/dp/B0FT3S3KLW
B0FJLSTLGD,"IESVRA Manual Food Cutter for Vegetables & Fruits | Push Style with Stainless Steel Blades | Onion, Tomato, Garlic, Chilli Slicer | Compact Kitchen Tool (Green)",N/A,https://m.media-amazon.com/images/I/51DlF3uwFSL._AC_CR0%2C0%2C0%2C0_SX750_.jpg,https://www.amazon.in/dp/B0FJLSTLGD
B0FKMBDMLT,IESVRA Masala Box for Kitchen | 6 in 1 Spice Box with Spoon | Modular Removable Spice Bins | Indian Masala Dabba | Plastic Masala Dani | Spice Organizer Storage Container,N/A,https://m.media-amazon.com/images/I/61c3tycnuRL._AC_CR0%2C0%2C0%2C0_SX750_.jpg,https://www.amazon.in/dp/B0FKMBDMLT
B0H2Z62YGG,IESVRA Digital Kitchen Weighing Scale | High Precision Food Weight Machine with LCD Display | Multipurpose Electronic Weight Scale for...,₹ 299 . 00,https://m.media-amazon.com/images/I/71qP5YfA4kL._AC_CR0%2C0%2C0%2C0_SX480_SY360_.jpg,https://www.amazon.in/dp/B0H2Z62YGG
B0FNN2D5CD,IESVRA 400ml Glass Water Bottle with Silicone Protective Sleeve | Leak Proof | BPA Free | Travel Friendly Reusable Water Bottle with Airtight Lid...,N/A,https://m.media-amazon.com/images/I/51ciRAlErEL._AC_CR0%2C0%2C0%2C0_SX480_SY360_.jpg,https://www.amazon.in/dp/B0FNN2D5CD
B0GN1MVG14,"IESVRA 1200ml Leak Proof Lunch Box for Office & School | BPA Free Food Container with Airtight Lid | Microwave Safe, Durable & Lightweight Tiffin Box for Men, Women & Kids (Grey)",N/A,https://m.media-amazon.com/images/I/71UDFaysGUL._AC_CR0%2C0%2C0%2C0_SX750_.jpg,https://www.amazon.in/dp/B0GN1MVG14
B0GKVPGWDV,"IESVRA 1 Litre Oil Dispenser Bottle for Kitchen | Leak Proof Oil Pourer Bottle with Spout | Transparent Cooking Oil Container for Olive Oil, Vinegar & Sauce Storage",N/A,https://m.media-amazon.com/images/I/71Gj81UkukL._AC_CR0%2C0%2C0%2C0_SX375_.jpg,https://www.amazon.in/dp/B0GKVPGWDV
B0GGH7RQGL,"IESVRA Bird Figurine Decorative Sculpture, Elegant Bird Statue for Home Décor, Living Room, Office, Shelf & Tabletop Accent, Modern Artistic Collectible Gift",N/A,https://m.media-amazon.com/images/I/41khFYJZ8tL._AC_CR0%2C0%2C0%2C0_SX375_.jpg,https://www.amazon.in/dp/B0GGH7RQGL
B0FT3X23KM,"IESVRA Flower Shape Adhesive Wall Hook | Heavy Duty Transparent Wall Holder | No-Drill Waterproof Wall Hooks for Home, Bathroom, Kitchen & Bedroom Organization | Strong Sticker Hooks (Pack of 30)",₹ 279 . 00,https://m.media-amazon.com/images/I/51NO-FIcFLL._AC_CR0%2C0%2C0%2C0_SX750_.jpg,https://www.amazon.in/dp/B0FT3X23KM
