asin,title,price,image_url,product_url
"B0CKJ2HCQ6","NANZU Glass 2 in 1 Oil Sprayer and Dispenser Bottle - 500ML for Kitchen, Cooking, BBQ, Air Fryer, Salad, Frying, Baking, Transparent","₹ 229","https://m.media-amazon.com/images/I/61e-HyTecSL._SL1000_.jpg","https://www.amazon.in/dp/B0CKJ2HCQ6"
"B0FT3X23KM","Flower Shape Adhesive Wall Hook | Heavy Duty Transparent Wall Holder | No-Drill Waterproof Wall Hooks for Home, Bathroom, Kitchen &amp; Bedroom Organization | Strong Sticker Hooks (Pack of 30)","₹ 279","https://m.media-amazon.com/images/I/51NO-FIcFLL._SL1080_.jpg","https://www.amazon.in/dp/B0FT3X23KM"
"B0GP6SWNGM","Airtight Fridge Storage Containers Combo (6-in-1 + Set of 3) | BPA-Free Refrigerator Organizer Boxes with Lid &amp; Drain Tray | Stackable Leakproof Vegetable, Fruit, Meat &amp; Leftover Storage","₹ 499","https://m.media-amazon.com/images/I/51i7OcISn4L._SL1500_.jpg","https://www.amazon.in/dp/B0GP6SWNGM"
"B0GN1MQTH7","3 Compartment Lunch Box for Office &amp; School | 1400ml Leakproof Bento Lunch Box with Spoon &amp; Fork | BPA Free Plastic Tiffin Box for Kids &amp; Adults | Multicolor","₹ 249","https://m.media-amazon.com/images/I/61eep+dmEeL._SL1402_.jpg","https://www.amazon.in/dp/B0GN1MQTH7"
"B0FJLQC934","Square Masala Box with 7 Compartments &amp; Spoon | Plastic Spice Organizer with Airtight Lid | Indian Spice Storage Container for Kitchen (1 Pc, Brown)","₹ 199","https://m.media-amazon.com/images/I/612L6ELGuEL._SL1080_.jpg","https://www.amazon.in/dp/B0FJLQC934"
"B0FM7GMPLJ","Airtight Fridge Storage Containers 6-in-1 Set | BPA-Free Refrigerator Organizer Boxes with Lid &amp; Drain Basket | Leakproof Vegetable, Fruit, Meat &amp; Leftover Storage Box for Kitchen","₹ 199","https://m.media-amazon.com/images/I/41yPqImmrzL._SL1080_.jpg","https://www.amazon.in/dp/B0FM7GMPLJ"
"B0GPH37X28","Combo- 4-Piece Airtight Kitchen Masala Box Set with Tray &amp; 4-in-1 Airtight Storage Container | Transparent Spice Containers with Rack &amp; Dry Storage Jar","₹ 399","https://m.media-amazon.com/images/I/51YrihHPsFL._SL1024_.jpg","https://www.amazon.in/dp/B0GPH37X28"
"B0FT3SHG1X","Flower Shape Adhesive Wall Hook | Heavy Duty Transparent Wall Holder for Bathroom &amp; Kitchen | No-Drill Sticker Hooks for Home Organization | Strong Self-Adhesive for Keys, Towels (Pack of 10)","₹ 139","https://m.media-amazon.com/images/I/51NO-FIcFLL._SL1080_.jpg","https://www.amazon.in/dp/B0FT3SHG1X"
"B0H2Z62YGG","Digital Kitchen Weighing Scale | High Precision Food Weight Machine with LCD Display | Multipurpose Electronic Weight Scale for Cooking, Baking &amp; Grocery | Compact &amp; Portable | White","₹ 299","https://m.media-amazon.com/images/I/71D3q0yOLeL._SL1350_.jpg","https://www.amazon.in/dp/B0H2Z62YGG"
"B0GNS8BS61","Motivational Water Bottle 3 Pcs Set (2000ml + 900ml + 300ml) | Transparent Leakproof Plastic Water Bottles with Time Marker | Gym, Office, School &amp; Travel | BPA Free |","₹ 299","https://m.media-amazon.com/images/I/51-IZZbtD5L._SL1024_.jpg","https://www.amazon.in/dp/B0GNS8BS61"
